"","sp_name","sp_subtribe","sp_lat","sp_lon"
"139","Calamus_conirostris","Calaminae",-0.5,116.5
"140","Calamus_conirostris","Calaminae",4.2,113.98
"141","Calamus_conirostris","Calaminae",4.2,113.983333
"142","Calamus_conirostris","Calaminae",4.5,115.166667
"143","Calamus_conirostris","Calaminae",5.33,116.17
"144","Calamus_conirostris","Calaminae",4.662094,101.156961
"145","Calamus_conirostris","Calaminae",4.47172,101.1654
"146","Calamus_conirostris","Calaminae",4.47172,101.1654
"147","Calamus_conirostris","Calaminae",4.8,100.75
"148","Calamus_conirostris","Calaminae",4.8,100.75
"149","Calamus_conirostris","Calaminae",4.47172,101.1654
"150","Calamus_deerratus","Calaminae",0.29632,12.61387
"151","Calamus_deerratus","Calaminae",-0.259917,10.4862
"152","Calamus_deerratus","Calaminae",-6.61306,16.20389
"153","Calamus_deerratus","Calaminae",4.705443,-7.10881
"154","Calamus_deerratus","Calaminae",5.178663,-2.844742
"155","Calamus_deerratus","Calaminae",7.446925,9.250014
"156","Calamus_deerratus","Calaminae",4.84313,7.013639
"157","Calamus_deerratus","Calaminae",8.683333,-8.633333
"158","Calamus_deerratus","Calaminae",11.189722,-4.438333
"159","Calamus_deerratus","Calaminae",11.183117,-4.4438
"160","Calamus_deerratus","Calaminae",12.443889,-16.749444
"161","Calamus_deerratus","Calaminae",3.62,11.58
"162","Calamus_deerratus","Calaminae",7.05,2.25
"163","Calamus_deerratus","Calaminae",7.05,2.25
"164","Calamus_deerratus","Calaminae",5.115,-6.188333
"165","Calamus_deerratus","Calaminae",5.25,-2.5
"166","Calamus_deerratus","Calaminae",1.71111,31.52555
"167","Calamus_deerratus","Calaminae",2.8,12.37
"168","Calamus_deerratus","Calaminae",2.8,12.366667
"169","Calamus_deerratus","Calaminae",2.8,12.366667
"170","Calamus_deerratus","Calaminae",11.221666,-15.041666
"171","Calamus_deerratus","Calaminae",4.666667,-6.916667
"172","Calamus_deerratus","Calaminae",4.666667,-6.916667
"173","Calamus_deerratus","Calaminae",4.666667,-6.916667
"174","Calamus_deerratus","Calaminae",4.666667,-6.916667
"175","Calamus_deerratus","Calaminae",6.22,-3.01
"176","Calamus_deerratus","Calaminae",4.13,9.52
"177","Calamus_deerratus","Calaminae",4.13,9.52
"178","Calamus_deerratus","Calaminae",5.366667,25.366667
"179","Calamus_deerratus","Calaminae",7.116667,-7
"180","Calamus_deerratus","Calaminae",5.983333,-7.466667
"181","Calamus_deerratus","Calaminae",7.116667,-7
"182","Calamus_deerratus","Calaminae",6.216667,-5.016667
"183","Calamus_deerratus","Calaminae",1.666667,12.866667
"184","Calamus_deerratus","Calaminae",1.666667,12.866667
"185","Calamus_deerratus","Calaminae",2.35,16.15
"186","Calamus_deerratus","Calaminae",2.366667,16.133333
"187","Calamus_deerratus","Calaminae",-8.316667,29.066667
"188","Calamus_deerratus","Calaminae",1.41666,28.58333
"189","Calamus_deerratus","Calaminae",1.416667,28.583333
"190","Calamus_deerratus","Calaminae",8.13333,21.3
"191","Calamus_deerratus","Calaminae",8.133333,21.133333
"192","Calamus_deerratus","Calaminae",8.43,21.25
"193","Calamus_deerratus","Calaminae",6.83,3.08
"194","Calamus_deerratus","Calaminae",2.95,11.9
"195","Calamus_deerratus","Calaminae",2.95,11.9
"196","Calamus_deerratus","Calaminae",2.95,11.9
"197","Calamus_deerratus","Calaminae",2.933333,11.983333
"198","Calamus_deerratus","Calaminae",2.95,11.9
"199","Calamus_deerratus","Calaminae",2.95,11.9
"200","Calamus_deerratus","Calaminae",2.933333,11.983333
"201","Calamus_deerratus","Calaminae",2.95,11.9
"202","Calamus_deerratus","Calaminae",2.933333,11.983333
"203","Calamus_deerratus","Calaminae",-10.283333,25.383333
"204","Calamus_deerratus","Calaminae",-0.433333,25.466667
"205","Calamus_deerratus","Calaminae",6.08,0.55
"206","Calamus_deerratus","Calaminae",6.08,0.55
"207","Calamus_deerratus","Calaminae",5.68525,-6.945731
"208","Calamus_deerratus","Calaminae",7.316667,5.033333
"209","Calamus_deerratus","Calaminae",5.339736,-4.133893
"210","Calamus_deerratus","Calaminae",5.09,1.19
"211","Calamus_deerratus","Calaminae",5.46078,-5.881321
"212","Calamus_deerratus","Calaminae",14.781111,-17.227778
"213","Calamus_deerratus","Calaminae",4.666667,-6.908333
"214","Calamus_deerratus","Calaminae",6.4,-10.65
"215","Calamus_deerratus","Calaminae",4.666667,-6.908333
"216","Calamus_deerratus","Calaminae",6.4,-10.65
"217","Calamus_deerratus","Calaminae",4.666667,-6.908333
"218","Calamus_deerratus","Calaminae",4.683333,-6.85
"219","Calamus_deerratus","Calaminae",4.683333,-6.85
"220","Calamus_deerratus","Calaminae",4.666667,-6.908333
"221","Calamus_deerratus","Calaminae",12.556111,-16.759167
"222","Calamus_deerratus","Calaminae",13.25,-13.616667
"223","Calamus_deerratus","Calaminae",5,-6.25
"224","Calamus_deerratus","Calaminae",5,-6.25
"225","Calamus_deerratus","Calaminae",5,-6.25
"226","Calamus_deerratus","Calaminae",5.316667,-6.166667
"227","Calamus_deerratus","Calaminae",5.316667,-6.166667
"228","Calamus_deerratus","Calaminae",5.316667,-6.166667
"229","Calamus_deerratus","Calaminae",5.316667,-6.166667
"230","Calamus_deerratus","Calaminae",5,-6.25
"231","Calamus_deerratus","Calaminae",5,-6.25
"232","Calamus_deerratus","Calaminae",5,-6.25
"233","Calamus_deerratus","Calaminae",5,-6.25
"234","Calamus_deerratus","Calaminae",5,-6.25
"235","Calamus_deerratus","Calaminae",5,-6.25
"236","Calamus_deerratus","Calaminae",14.736667,-17.633889
"237","Calamus_deerratus","Calaminae",5.201136,-3.72097
"238","Calamus_deerratus","Calaminae",6.166667,-4.933333
"239","Calamus_deerratus","Calaminae",6.166667,-4.933333
"240","Calamus_deerratus","Calaminae",5.06,1.15
"241","Calamus_deerratus","Calaminae",6.4,-1.2
"242","Calamus_deerratus","Calaminae",14.781111,-17.227778
"243","Calamus_deerratus","Calaminae",14.781111,-17.227778
"244","Calamus_deerratus","Calaminae",14.781111,-17.227778
"245","Calamus_deerratus","Calaminae",14.781111,-17.227778
"246","Calamus_deerratus","Calaminae",14.736667,-17.633889
"247","Calamus_deerratus","Calaminae",14.736667,-17.633889
"248","Calamus_deerratus","Calaminae",14.736667,-17.633889
"249","Calamus_deerratus","Calaminae",14.736667,-17.633889
"250","Calamus_deerratus","Calaminae",14.736667,-17.633889
"251","Calamus_deerratus","Calaminae",-7.330289,20.789051
"252","Calamus_deerratus","Calaminae",14.781111,-17.227778
"253","Calamus_deerratus","Calaminae",14.781111,-17.227778
"254","Calamus_deerratus","Calaminae",-7.330289,20.789051
"255","Calamus_deerratus","Calaminae",0.116667,18.266667
"256","Calamus_deerratus","Calaminae",0.116667,18.266667
"257","Calamus_deerratus","Calaminae",0.767499,24.446944
"258","Calamus_deerratus","Calaminae",5.53,1.01
"259","Calamus_deerratus","Calaminae",7.2,-9.95
"260","Calamus_deerratus","Calaminae",7.233333,-10.15
"261","Calamus_deerratus","Calaminae",-0.4,25.433333
"262","Calamus_deerratus","Calaminae",1.3,23.933333
"263","Calamus_deerratus","Calaminae",14.366965,-14.467653
"264","Calamus_deerratus","Calaminae",13.45278,-15.38667
"265","Calamus_deerratus","Calaminae",13.45278,-15.38667
"266","Calamus_deerratus","Calaminae",5.355809,-3.885371
"267","Calamus_deerratus","Calaminae",-7.066667,23.566667
"268","Calamus_dumetosus","Calaminae",21.3275,-157.799
"269","Calamus_dumetosus","Calaminae",4.6,115.18
"270","Calamus_dumetosus","Calaminae",4.53,115.15
"271","Calamus_dumetosus","Calaminae",4.08,114.7
"272","Calamus_dumetosus","Calaminae",4.083333,114.7
"273","Calamus_dumetosus","Calaminae",3.7,115.42
"274","Calamus_dumetosus","Calaminae",3.7,115.416667
"275","Calamus_dumetosus","Calaminae",3.7,115.416667
"276","Calamus_dumetosus","Calaminae",1.1,110.93
"277","Calamus_dumetosus","Calaminae",1.4,110.3
"278","Calamus_dumetosus","Calaminae",1.1,116.33
"279","Calamus_dumetosus","Calaminae",5.07,115.57
